#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10,-8942.661831296587,4.992111263780896,7.518017079000001,0.9993335178129998
20,-8924.768631969688,8.37562188030846,7.479530799165772,1.0044756357408469
30,-8901.453156914242,11.515663420554505,7.522467017180475,0.9987423590394502
40,-8880.503803358828,14.315683019784643,7.566795535158644,0.9928914319974111
50,-8860.732835844334,16.168262261515615,7.521844131191873,0.9988250651698641
60,-8842.287523344334,18.944277162827532,7.521844131191873,0.9988250651698641
70,-8822.814867094334,21.472181326629943,7.521844131191873,0.9988250651698641
80,-8799.930504262753,23.434877533215428,7.5278507221074165,0.9980280868842766
90,-8790.27252070616,27.283742784415725,7.529586105918107,0.997798066035822
100,-8769.029897402863,30.6286268439467,7.565344101295832,0.9930819211843142
110,-8748.565053652863,31.83465172546937,7.565344101295832,0.9930819211843142
120,-8728.529897402863,34.68609553254194,7.565344101295832,0.9930819211843142
130,-8713.315053652863,37.22666887755274,7.565344101295832,0.9930819211843142
140,-8681.389272402863,39.758903408670136,7.565344101295832,0.9930819211843142
150,-8660.244741152863,43.24736003778618,7.565344101295832,0.9930819211843142
160,-8629.361928652863,45.59670329550373,7.565344101295832,0.9930819211843142
170,-8606.158803652863,49.75435604484358,7.565344101295832,0.9930819211843142
180,-8589.455678652863,52.82125072238697,7.565344101295832,0.9930819211843142
190,-8570.893178652863,56.85747522606423,7.565344101295832,0.9930819211843142
200,-8544.979116152863,60.870829107059116,7.565344101295832,0.9930819211843142
210,-8534.916616152863,66.36045008350084,7.565344101295832,0.9930819211843142
220,-8512.650991152863,70.69608887267573,7.565344101295832,0.9930819211843142
230,-8467.158803652863,71.25739751471089,7.565344101295832,0.9930819211843142
240,-8475.940053652863,79.02648658359097,7.565344101295832,0.9930819211843142
250,-8438.838491152863,80.24600652303538,7.565344101295832,0.9930819211843142
260,-8385.541616152863,80.46599748014535,7.565344101295832,0.9930819211843142
270,-8394.604116152863,85.65988273831637,7.565344101295832,0.9930819211843142
280,-8363.678334902863,85.90843130491203,7.565344101295832,0.9930819211843142
290,-8346.225209902863,90.05070763059865,7.565344101295832,0.9930819211843142
300,-8329.943959902863,93.57159274569138,7.565344101295832,0.9930819211843142
310,-8305.330678652863,96.07578759694229,7.565344101295832,0.9930819211843142
320,-8279.424428652863,99.7039166380273,7.565344101295832,0.9930819211843142
330,-8245.869741152863,100.46892496117627,7.565344101295832,0.9930819211843142
340,-8237.799428652863,103.21353553590205,7.565344101295832,0.9930819211843142
350,-8237.205678652863,108.86146221364946,7.565344101295832,0.9930819211843142
360,-8220.697866152863,110.56516714119249,7.565344101295832,0.9930819211843142
370,-8252.346303652863,121.68151373351206,7.565344101295832,0.9930819211843142
380,-8177.354116152863,114.76302376515295,7.565344101295832,0.9930819211843142
390,-8137.307241152863,115.75949005418273,7.565344101295832,0.9930819211843142
400,-8131.858022402863,118.76328368854006,7.565344101295832,0.9930819211843142
410,-8125.279897402863,121.08804883824621,7.565344101295832,0.9930819211843142
420,-8087.822866152863,120.58435844672331,7.565344101295832,0.9930819211843142
430,-8140.150991152863,131.75762271111824,7.565344101295832,0.9930819211843142
440,-8100.783803652863,129.71089183273088,7.565344101295832,0.9930819211843142
450,-8080.799428652863,129.52777678131312,7.565344101295832,0.9930819211843142
460,-8051.455678652863,127.87051832539667,7.565344101295832,0.9930819211843142
470,-8085.998647402863,133.60063271154945,7.565344101295832,0.9930819211843142
480,-8032.178334902863,132.14034822833875,7.565344101295832,0.9930819211843142
490,-8028.760366152863,135.80122342845453,7.565344101295832,0.9930819211843142
500,-8033.963491152863,138.81033679871595,7.565344101295832,0.9930819211843142
510,-8031.772084902863,144.34660173675275,7.565344101295832,0.9930819211843142
520,-8016.576772402863,144.99042464147158,7.565344101295832,0.9930819211843142
530,-7983.283803652863,144.59760591629646,7.565344101295832,0.9930819211843142
540,-7986.002553652863,147.48845576784734,7.565344101295832,0.9930819211843142
550,-7966.428334902863,147.60752362246168,7.565344101295832,0.9930819211843142
560,-7965.436147402863,148.73862864698887,7.565344101295832,0.9930819211843142
570,-7950.986928652863,151.28569320840765,7.565344101295832,0.9930819211843142
580,-7927.412709902863,151.4686129470449,7.565344101295832,0.9930819211843142
590,-7900.815053652863,152.28708271647756,7.565344101295832,0.9930819211843142
600,-7921.568959902863,158.39616168901074,7.565344101295832,0.9930819211843142
610,-7870.549428652863,154.23066519516283,7.565344101295832,0.9930819211843142
620,-7845.131459902863,152.8134256652309,7.565344101295832,0.9930819211843142
630,-7827.928334902863,154.57610955809358,7.565344101295832,0.9930819211843142
640,-7845.166616152863,159.40541505051903,7.565344101295832,0.9930819211843142
650,-7837.025991152863,159.4194539247801,7.565344101295832,0.9930819211843142
660,-7845.440053652863,162.59133264940968,7.565344101295832,0.9930819211843142
670,-7793.947866152863,155.37080403578432,7.565344101295832,0.9930819211843142
680,-7836.315053652863,165.8896202992315,7.565344101295832,0.9930819211843142
690,-7819.561147402863,165.43849977312632,7.565344101295832,0.9930819211843142
700,-7785.182241152863,161.94665244948837,7.565344101295832,0.9930819211843142
710,-7786.373647402863,164.0110787490455,7.565344101295832,0.9930819211843142
720,-7765.213491152863,164.226710801648,7.565344101295832,0.9930819211843142
730,-7732.018178652863,162.00786442352228,7.565344101295832,0.9930819211843142
740,-7751.217397402863,166.02138204324257,7.565344101295832,0.9930819211843142
750,-7781.565053652863,174.77813819475568,7.565344101295832,0.9930819211843142
760,-7726.705678652863,171.09371797217696,7.565344101295832,0.9930819211843142
770,-7748.647084902863,175.83115735697012,7.565344101295832,0.9930819211843142
780,-7775.818959902863,181.7583038829295,7.565344101295832,0.9930819211843142
790,-7678.783803652863,169.18725519046293,7.565344101295832,0.9930819211843142
800,-7695.822866152863,174.7613009182959,7.565344101295832,0.9930819211843142
810,-7685.924428652863,176.70371759127121,7.565344101295832,0.9930819211843142
820,-7680.252553652863,178.62371931201025,7.565344101295832,0.9930819211843142
830,-7671.014272402863,181.44898317873688,7.565344101295832,0.9930819211843142
840,-7601.315053652863,173.62196416753724,7.565344101295832,0.9930819211843142
850,-7643.322866152863,181.05855154150058,7.565344101295832,0.9930819211843142
860,-7607.916616152863,179.76502084517062,7.565344101295832,0.9930819211843142
870,-7633.596303652863,184.72100321901186,7.565344101295832,0.9930819211843142
880,-7635.186147402863,184.87771033599944,7.565344101295832,0.9930819211843142
890,-7622.916616152863,185.45297613242357,7.565344101295832,0.9930819211843142
900,-7596.799428652863,184.08142741400195,7.565344101295832,0.9930819211843142
910,-7602.252553652863,186.2967550532522,7.565344101295832,0.9930819211843142
920,-7527.002553652863,178.39986158615682,7.565344101295832,0.9930819211843142
930,-7474.350209902863,174.17120870062143,7.565344101295832,0.9930819211843142
940,-7504.322866152863,179.0085508650758,7.565344101295832,0.9930819211843142
950,-7568.385366152863,192.0853161495817,7.565344101295832,0.9930819211843142
960,-7504.197866152863,187.28940180071731,7.565344101295832,0.9930819211843142
970,-7566.760366152863,194.2552454090987,7.565344101295832,0.9930819211843142
980,-7545.096303652863,192.13628866628952,7.565344101295832,0.9930819211843142
990,-7522.025991152863,190.56637697695638,7.565344101295832,0.9930819211843142
1000,-7507.365834902863,190.27657219022174,7.565344101295832,0.9930819211843142
1010,-7551.682241152863,197.1188708610508,7.565344101295832,0.9930819211843142
1020,-7540.178334902863,199.13742184134148,7.565344101295832,0.9930819211843142
1030,-7506.201772402863,198.30658791554742,7.565344101295832,0.9930819211843142
1040,-7477.549428652863,195.85447531767244,7.565344101295832,0.9930819211843142
